,WHAT IS YOUR GENDER?,Do you  have any basic knowledge about AI tools?,"Have you ever used any AI tools? (like chatgpt ,quillbot, bard etc)","Will the unemployment increase in the coming years due to AI modifications?
", In your opinion which AI tool is mostly used for learning purposes?,Have you personally used or experienced AI tools in an educational context?,Do you believe that AI has the potential to enhance the learning experience in education?,In which subjects do you think AI could be most beneficial in education?,"If you are a teacher or educator, do you think AI can assist in improving teaching methods and materials?","If you are a student, do you think AI can enhance your learning experience?",Have you personally benefited from AI tools in your education?,What are the potential challenges and risks of using AI in education?,Do the AI tools effect the students' minds?
2023/09/28 6:15:28 pm GMT+5,MALE,"Yes, I was taught about it growing up.","Yes, I was taught about it growing up.",Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 6:16:46 pm GMT+5,MALE,"No, I have no idea.",No,Rather not have an opinion,No idea,Maybe in future if its trend keeps on going.,It will enhance the teaching capabilities of teachers.,Quantum Physics,I'm neither a teacher nor a educator,I have never used AI tools.,prefer not to say,If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 6:17:26 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,I believe in natural thinking process so rather not use it.,It will enhance the teaching capabilities of teachers.,Discrete Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 6:17:56 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,To some extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 6:29:04 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 6:33:59 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Mathematics,Surely to a great extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 6:34:47 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Discrete Mathematics,To some extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a good Effect based on their usage.
2023/09/28 6:58:50 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on what kind of people are using it.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Quantum Physics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a Bad Effect based on their usage.
2023/09/28 6:59:34 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,I have no idea.,BARD,"Yes, its very helpful.",It will enhance the teaching capabilities of teachers.,Discrete Mathematics,Surely to a great extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 7:00:17 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Discrete Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 7:03:54 pm GMT+5,FEMALE,Very basic knowledge.,No,I have no idea.,No idea,Maybe in future if its trend keeps on going.,It will provide opportunities to more peers.,Quantum Physics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 7:43:07 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 8:21:58 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,I believe in natural thinking process so rather not use it.,It will enhance the teaching capabilities of teachers.,Quantum Physics,Surely to a great extent,I have never used AI tools.,"Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,Rather not say
2023/09/28 8:25:00 pm GMT+5,MALE,Very basic knowledge.,No,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will enhance the teaching capabilities of teachers.,Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 8:28:01 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
